title,platform,Score,release_year
Cardinal Syn,PlayStation,6,1998
Carnivores,PC,7,1998
Castrol Honda Superbike World Champions,PC,8,1998
Centipede [1999],PC,8,1998
Chopper Attack,Nintendo 64,6,1998
Circuit Breakers [1998],PlayStation,8,1998
Colony Wars: Vengeance,PlayStation,10,1998
Combat Flight Simulator: WWII Europe Series,PC,7,1998
Command & Conquer: Red Alert Retaliation,PlayStation,7,1998
Commandos: Behind Enemy Lines,PC,8,1998
Cool Boarders 3,PlayStation,6,1998
Crash Bandicoot: Warped,PlayStation,9,1998
Crime Killer,PlayStation,5,1998
Cruis'n World,Nintendo 64,7,1998
Darkstalkers 3,PlayStation,8,1998
Dead or Alive,PlayStation,9,1998
Deadly Arts,Nintendo 64,3,1998
Deathtrap Dungeon,PlayStation,5,1998
Deathtrap Dungeon,PC,5,1998
Deep Sea Trophy Fishing,PC,2,1998
Delta Force,PC,9,1998
DethKarz,PC,7,1998
Devil Dice,PlayStation,9,1998
Diablo,PlayStation,8,1998
Dominion:  Storm Over Gift 3,PC,4,1998
Dragon Seeds,PlayStation,7,1998
Dual Heroes,Nintendo 64,3,1998
Duke Nukem: Time to Kill,PlayStation,8,1998
Dune 2000,PC,5,1998
Einhander,PlayStation,9,1998
Elemental Gearbolt,PlayStation,8,1998
European Air War,PC,8,1998
Extreme PaintBrawl,PC,1,1998
Extreme-G 2,Nintendo 64,7,1998
F-1 World Grand Prix,Nintendo 64,8,1998
F-Zero X,Nintendo 64,9,1998
F1 Formula 1 '98,PlayStation,7,1998
Fallout 2,PC,9,1998
FIFA '99,PlayStation,9,1998
FIFA '99,PC,9,1998
Fighters Destiny,Nintendo 64,8,1998
Final Fantasy Tactics,PlayStation,9,1998
Final Fantasy VII,PC,8,1998
Flesh Feast,PC,5,1998
Forsaken,PC,9,1998
Forsaken,PlayStation,8,1998
Forsaken 64,Nintendo 64,8,1998
FOX Sports College Hoops '99,Nintendo 64,5,1998
Fox Sports Golf '99,PC,6,1998
Front Office Football,PC,8,1998
Future Cop: L.A.P.D.,PlayStation,8,1998
Future Cop: L.A.P.D.,PC,8,1998
G Darius,PlayStation,8,1998
"Game, Net & Match",PC,6,1998
Gangsters: Organized Crime,PC,9,1998
Get Medieval,PC,6,1998
Gex 64: Enter the Gecko,Nintendo 64,6,1998
Gex: Enter the Gecko,PlayStation,8,1998
Global Domination,PC,4,1998
Glover,Nintendo 64,8,1998
Glover,PC,8,1998
Golden Nugget 64,Nintendo 64,8,1998
Gran Turismo [1998],PlayStation,10,1998
Grand Theft Auto,PlayStation,6,1998
Granstream Saga,PlayStation,6,1998
Grim Fandango,PC,9,1998
GT 64 Championship Edition,Nintendo 64,4,1998
Guilty Gear,PlayStation,8,1998
Half-Life,PC,10,1998
HardBall 6,PC,6,1998
Heart of Darkness,PlayStation,8,1998
Heart of Darkness,PC,6,1998
Hedz,PC,7,1998
Heretic II,PC,8,1998
High Heat Baseball 1999,PC,7,1998
Hot Shots Golf,PlayStation,8,1998
Icarus: Sanctuary of the Gods,PC,4,1998
iF/A-18 Carrier Strike Fighter,PC,7,1998
Iggy's Reckin' Balls,Nintendo 64,7,1998
Incoming,PC,7,1998
Independence War,PC,8,1998
Industry Giant [1998],PC,5,1998
International Superstar Soccer '98,Nintendo 64,9,1998
Jane's IAF -- Israeli Air Force,PC,7,1998
Jane's WWII Fighters,PC,8,1998
Jeopardy! [1998],PlayStation,8,1998
Jeopardy! [1998],PC,7,1998
Jeopardy! [1998],Nintendo 64,4,1998
Jeremy McGrath Supercross '98,PlayStation,5,1998
Jersey Devil,PlayStation,5,1998
Judge Dredd,PlayStation,2,1998
Kagero: Deception II,PlayStation,9,1998
Kartia,PlayStation,8,1998
Kensei: Sacred Fist,PlayStation,6,1998
Klonoa: Door to Phantomile,PlayStation,8,1998
Knife Edge: Nose Gunner,Nintendo 64,5,1998
Knights and Merchants: The Shattered Kingdom,PC,6,1998
Knockout Kings,PlayStation,7,1998
Kobe Bryant in NBA Courtside,Nintendo 64,8,1998
Leisure Suit Larry's Casino,PC,6,1998
Lemmings and Oh No! More Lemmings,PlayStation,7,1998
Lode Runner: The Legend Returns,PlayStation,6,1998
Lucky Luke,PlayStation,4,1998
M.A.X. 2,PC,4,1998
Madden NFL '99,PC,9,1998
Madden NFL '99,Nintendo 64,9,1998
Madden NFL '99,PlayStation,9,1998
Major League Baseball Featuring Ken Griffey Jr.,Nintendo 64,8,1998
Master of Monsters: Disciples of Gaia,PlayStation,4,1998
MechCommander,PC,8,1998
MediEvil,PlayStation,8,1998
Mega Man Legends,PlayStation,8,1998
Metal Gear Solid,PlayStation,10,1998
Micro Machines V3,PlayStation,9,1998
Might and Magic VI: The Mandate of Heaven,PC,9,1998
Mike Piazza's StrikeZone,Nintendo 64,3,1998
Milo's Astro Lanes,Nintendo 64,6,1998
Mission: Impossible,Nintendo 64,7,1998
MLB '99,PlayStation,7,1998
Monopoly [1998],PlayStation,3,1998
Mortal Kombat 4,Nintendo 64,9,1998
Mortal Kombat 4,PlayStation,8,1998
Mortal Kombat 4,PC,8,1998
Moto Racer 2,PlayStation,9,1998
Motocross Madness [1998],PC,8,1998
Motorhead,PlayStation,5,1998
Mystical Ninja Starring Goemon,Nintendo 64,8,1998
N2O: Nitrous Oxide,PlayStation,8,1998
Nagano Winter Olympics '98,Nintendo 64,4,1998
Nagano Winter Olympics '98,PlayStation,3,1998
Nam,PC,3,1998
NASCAR 99,Nintendo 64,7,1998
NASCAR 99,PlayStation,7,1998
NBA in the Zone '98,PlayStation,8,1998
NBA In the Zone '98,Nintendo 64,5,1998
NBA Jam 99,Nintendo 64,8,1998
NBA Live '99,PC,9,1998
NBA Live '99,PlayStation,9,1998
NBA Live '99,Nintendo 64,8,1998
NBA ShootOut '98,PlayStation,9,1998
NCAA Football '99,PlayStation,8,1998
NCAA Football '99,PC,7,1998
NCAA GameBreaker '99,PlayStation,9,1998
NCAA March Madness '98,PlayStation,7,1998
Need for Speed III: Hot Pursuit,PlayStation,8,1998
Need for Speed III: Hot Pursuit,PC,7,1998
Newman Haas Racing,PlayStation,8,1998
NFL Blitz [1998],Nintendo 64,9,1998
NFL Blitz [1998],PlayStation,9,1998
NFL Blitz [1998],PC,9,1998
NFL GameDay 99,PlayStation,9,1998
NFL GameDay 99,PC,6,1998
NFL Quarterback Club '99,Nintendo 64,8,1998
NFL Xtreme,PlayStation,5,1998
NHL '99,PC,9,1998
NHL '99,Nintendo 64,9,1998
NHL '99,PlayStation,9,1998
NHL Breakaway '98,Nintendo 64,7,1998
NHL Breakaway '99,Nintendo 64,6,1998
NHL FaceOff '99,PlayStation,9,1998
Nightmare Creatures,Nintendo 64,7,1998
Ninja: Shadow of Darkness,PlayStation,7,1998
No One Can Stop Mr. Domino,PlayStation,8,1998
O.D.T.: Escape... ...Or Die Trying,PlayStation,6,1998
Oddworld: Abe's Exoddus,PlayStation,8,1998
Off-Road Challenge,Nintendo 64,3,1998
Panzer Commander,PC,7,1998
Parasite Eve,PlayStation,7,1998
Peter Jacobsen's Golden Tee Golf,PC,7,1998
Pitfall 3D,PlayStation,7,1998
Plane Crazy,PC,9,1998
Point Blank,PlayStation,8,1998
Pokemon Stadium [Japanese Version],Nintendo 64,5,1998
Pool Hustler,PlayStation,7,1998
Powerslide,PC,9,1998
Pro Bass Fishing,PC,3,1998
Pro Pilot 99,PC,6,1998
Pro-Pinball: Timeshock!,PlayStation,5,1998
Psybadek,PlayStation,4,1998
Quake,Nintendo 64,8,1998
Quake II Mission Pack: Ground Zero,PC,8,1998
Quest 64,Nintendo 64,6,1998
Quest for Glory V: Dragon Fire,PC,7,1998
Rage of Mages,PC,5,1998
Railroad Tycoon II,PC,9,1998
Rally Cross 2,PlayStation,8,1998
Rampage: World Tour,Nintendo 64,5,1998
Rascal,PlayStation,2,1998
Ray Tracers,PlayStation,7,1998
ReBoot,PlayStation,7,1998
Red Asphalt,PlayStation,5,1998
Red Jack: Revenge of the Brethren,PC,7,1998
Redline Racer,PC,7,1998
Resident Evil 2 [1998],PlayStation,9,1998
Return Fire II,PC,8,1998
Revenge of Arcade,PC,6,1998
Rival Schools: United by Fate,PlayStation,8,1998
Riven: The Sequel to Myst,PlayStation,7,1998
Road Rash 3D,PlayStation,5,1998
Robotron 64,Nintendo 64,7,1998
Rogue Trip: Vacation 2012,PlayStation,8,1998
Roll Away,PlayStation,9,1998
Rosco McQueen: Firefighter Extreme,PlayStation,5,1998
Rugrats: The Search for Reptar,PlayStation,7,1998
Running Wild,PlayStation,6,1998
Rush 2: Extreme Racing USA,Nintendo 64,9,1998
S.C.A.R.S,Nintendo 64,8,1998
S.C.A.R.S.,PlayStation,7,1998
Saga Frontier,PlayStation,7,1998
San Francisco Rush: Extreme Racing,PlayStation,5,1998
Sanitarium,PC,7,1998
SEGA Touring Car Championship,PC,5,1998
Sensible Soccer '98,PC,4,1998
Shadow Master,PlayStation,4,1998
Shogo: Mobile Armor Division,PC,9,1998
SimCity 2000,Nintendo 64,4,1998
SiN,PC,7,1998
Skullmonkeys,PlayStation,6,1998
Small Soldiers,PlayStation,7,1998
Snowboard Kids,Nintendo 64,8,1998
Soviet Strike,PlayStation,8,1998
Space Bunnies Must Die,PC,7,1998
Space Station Silicon Valley,Nintendo 64,10,1998
Spearhead,PC,7,1998
Speed Racer,PlayStation,5,1998
Spice World,PlayStation,2,1998
Spyro the Dragon,PlayStation,9,1998
Star Trek: The Next Generation: Klingon Honor Guard,PC,7,1998
Star Wars: Rogue Squadron,Nintendo 64,9,1998
Star Wars: Rogue Squadron 3D,PC,8,1998
Starship Titanic,PC,5,1998
Streak: Hoverboard Racing,PlayStation,5,1998
Street Fighter Collection 2,PlayStation,8,1998
Super B-Daman Battle Phoenix 64,Nintendo 64,4,1998
SWAT 2,PC,7,1998
Team Losi RC Racer,PlayStation,5,1998
Tekken 3,PlayStation,9,1998
Tenchu: Stealth Assassins,PlayStation,9,1998
Tennis Arena,PlayStation,5,1998
Test Drive 5,PlayStation,8,1998
Test Drive 5,PC,8,1998
Test Drive Off-Road 2,PlayStation,6,1998
The Elder Scrolls Adventures: Redguard,PC,7,1998
The Fifth Element,PlayStation,5,1998
The Game of Life [1998],PC,7,1998
The Legend of Zelda: Ocarina of Time,Nintendo 64,10,1998
"The Operational Art of War, Vol. 1",PC,9,1998
Theme Hospital,PlayStation,7,1998
Thief: The Dark Project,PC,9,1998
Thunder Force V: Perfect System,PlayStation,9,1998
Tiger Woods '99,PC,8,1998
Tiger Woods '99,PlayStation,7,1998
TOCA Championship Racing,PC,8,1998
Tom Clancy's Rainbow Six,PC,9,1998
Tomb Raider III: Adventures of Lara Croft,PC,8,1998
Tomb Raider III: Adventures of Lara Croft,PlayStation,8,1998
Tomba!,PlayStation,9,1998
Top Gear Overdrive,Nintendo 64,8,1998
